Format Version,1.0,
Take Name,TrunkStability_DS_MOCAP_Raw_9,
Capture Frame Rate,1920.00,
Export Frame Rate,120.00,
Capture Start Time,09 Aug 2021 09:22:57 -0400,
Total Frames In Take,1605,
Total Exported Frames,25680,
Coordinate Space,Local,
Device Name,NIDAQ USB-6343 (BNC) 31369206,
Device Type,1,
Device Channel Count,10,
Mocap Rate,120.00,
Mocap Rate Multiple,16.00

MocapFrame, MocapTime, DeviceFrame,ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
7,0.058333,115,-0.000054,-0.008924,0.019985,0.022613,0.004545,-0.005639,-0.031263,0.021956,0.034112,0.044296
7,0.058333,116,0.003231,-0.011224,0.020971,0.024913,0.009144,-0.003996,-0.031592,0.022942,0.035754,0.052508
7,0.058333,117,-0.001040,-0.010567,0.019985,0.024585,0.002245,-0.005310,-0.032577,0.028855,0.027870,0.053822
7,0.058333,118,-0.000054,-0.007939,0.011772,0.025242,-0.002025,-0.005310,-0.029949,0.020971,0.040025,0.046924
7,0.058333,119,-0.000711,-0.010567,0.020642,0.019657,-0.005310,-0.002354,-0.029292,0.023928,0.033126,0.044296
7,0.058333,120,-0.001697,-0.009581,0.018343,0.023599,-0.008924,0.004217,-0.028635,0.024585,0.027870,0.047581
7,0.058333,121,0.001588,-0.009910,0.019000,0.022942,-0.007939,-0.007282,-0.021079,0.025570,0.036740,0.045938
7,0.058333,122,0.002902,-0.012866,0.019000,0.023270,-0.005310,-0.006296,-0.029949,0.019985,0.025242,0.043967
7,0.058333,123,0.003231,-0.003996,0.014072,0.023599,-0.003011,-0.006624,-0.027978,0.019985,0.016372,0.054808
7,0.058333,124,0.001588,-0.003668,0.020642,0.022942,0.001917,-0.004325,-0.029949,0.020314,0.020314,0.027541
7,0.058333,125,-0.002025,0.002902,0.018014,0.025570,-0.003011,0.001260,-0.032577,0.022942,0.012101,0.028198
7,0.058333,126,-0.006296,0.000274,0.018343,0.024256,0.000931,-0.006953,-0.035205,0.028198,0.032469,0.033454
7,0.058333,127,0.000931,-0.001368,0.018014,0.024913,-0.000054,-0.003668,-0.033234,0.019000,0.052837,0.018343
8,0.066667,128,-0.000054,-0.004325,0.017357,0.027541,0.001588,-0.001368,-0.030278,0.022613,0.006516,0.000603
8,0.066667,129,-0.000383,-0.007282,0.015386,0.021299,0.009473,-0.004325,-0.031592,0.021956,0.007830,0.010458
8,0.066667,130,-0.003011,-0.005967,0.015386,0.024913,-0.002025,-0.007282,-0.028307,0.023599,0.008816,0.008487
8,0.066667,131,-0.004982,-0.007610,0.018343,0.021628,0.004874,-0.008596,-0.032577,0.028527,0.019000,0.012101
8,0.066667,132,0.000931,-0.005639,0.021299,0.022613,0.008487,-0.006953,-0.028635,0.025570,0.002902,0.041010
8,0.066667,133,0.000603,-0.001368,0.012101,0.030826,0.007173,-0.005967,-0.029292,0.023599,-0.003668,0.001260
8,0.066667,134,0.001588,-0.001368,0.014401,0.020642,0.006845,-0.000711,-0.028964,0.022613,0.005531,0.012758
8,0.066667,135,0.003560,-0.001368,0.015386,0.022942,0.010787,-0.011881,-0.028635,0.023270,0.010130,0.011444
8,0.066667,136,0.002574,-0.003339,0.019985,0.016700,0.010787,-0.013195,-0.029621,0.022285,0.010458,0.008487
8,0.066667,137,0.002902,-0.006953,0.026884,0.023270,0.010458,-0.013195,-0.029949,0.022613,-0.001697,0.028527
